Weapon                        | Score

Rainbow Rod                   | 2.138728323699422
Ice Sickle                    | 2.176470588235294
Seedler                       | 2.176470588235294
Frostbrand                    | 2.2023809523809526
Orichalcum Sword              | 2.242424242424242
Palladium Sword               | 2.242424242424242
Adamantite Glaive             | 2.242424242424242
Orichalcum Halberd            | 2.2560975609756095
Night's Edge                  | 2.2699386503067487
Adamantite Sword              | 2.2839506172839505
Resonance Scepter             | 2.2839506172839505
Mythril Halberd               | 2.298136645962733
Bone Sword                    | 2.3125
Hel-Fire                      | 2.3125
Stynger                       | 2.3125
Dart Pistol                   | 2.3270440251572326
Meteor Staff                  | 2.3270440251572326
Shadowflame Hex Doll          | 2.3417721518987342
Frost Staff                   | 2.356687898089172
Palladium Pike                | 2.356687898089172
Spirit Flame                  | 2.371794871794872
Enchanted Sword               | 2.3870967741935485
Shadowflame Knife             | 2.3870967741935485
Mythril Sword                 | 2.4025974025974026
Cobalt Sword                  | 2.4025974025974026
Tentacle Spike                | 2.4025974025974026
Shadowflame Bow               | 2.418300653594771
Chik                          | 2.4342105263157894
Marrow                        | 2.4342105263157894
Cobalt Naginata               | 2.4342105263157894
Sky Fracture                  | 2.4503311258278146
Cascade                       | 2.4503311258278146
Ice Bow                       | 2.4503311258278146
Titanium Sword                | 2.4832214765100673
Yelets                        | 2.5
Excalibur                     | 2.5
Venus Magnum                  | 2.5
Amazon                        | 2.5170068027210886
Death Sickle                  | 2.5170068027210886
Amarok                        | 2.5342465753424657
Cutlass                       | 2.5342465753424657
Flying Knife                  | 2.5342465753424657
Blood Butcherer               | 2.5342465753424657
Magical Harp                  | 2.5517241379310347
Blade of Grass                | 2.5517241379310347
Trimarang                     | 2.5517241379310347
Xenopopper                    | 2.5517241379310347
Hallowed Repeater             | 2.5694444444444446
Hive-Five                     | 2.5694444444444446
KO Cannon                     | 2.5694444444444446
Magnet Sphere                 | 2.5694444444444446
Super Star Shooter            | 2.5694444444444446
Possessed Hatchet             | 2.5874125874125875
Medusa Head                   | 2.5874125874125875
Spectre Staff                 | 2.5874125874125875
Chain Guillotines             | 2.5874125874125875
Tsunami                       | 2.6056338028169015
Life Drain                    | 2.6056338028169015
Malaise                       | 2.6056338028169015
Aerial Bane                   | 2.6056338028169015
Titanium Trident              | 2.6056338028169015
Jack 'O Lantern Launcher      | 2.624113475177305
Chlorophyte Partisan          | 2.624113475177305
Inferno Fork                  | 2.642857142857143
Sleepy Octopod                | 2.642857142857143
Flymeal                       | 2.661870503597122
Gungnir                       | 2.661870503597122
Palladium Repeater            | 2.661870503597122
Demon Scythe                  | 2.661870503597122
Uzi                           | 2.661870503597122
